MODSIM_LIB1.1
12
0.000000 0.000038 0.06280 0.01210 0.02300 0.00380 0.00080 0.00080 0.00090 0.00090 0.02760 0.13320 0.48610 0.24800
0.000038 0.000045 0.00590 0.01450 0.01460 0.00250 0.00240 0.00810 0.00280 0.00090 0.01080 0.15220 0.45420 0.33110
0.000045 0.000053 0.00000 0.00750 0.02820 0.00610 0.00870 0.00120 0.01600 0.00790 0.02380 0.12180 0.66700 0.11160
0.000053 0.000075 0.00000 0.00140 0.03110 0.00830 0.01170 0.00410 0.00180 0.00080 0.00200 0.02090 0.85160 0.06640
0.000075 0.000106 0.00000 0.00280 0.02140 0.01970 0.03310 0.00180 0.01660 0.02250 0.04720 0.32600 0.50900 0.00010
0.000106 0.000180 0.00000 0.00080 0.00050 0.07780 0.11280 0.12910 0.08190 0.17820 0.00030 0.22770 0.19100 0.00000
0.000180 0.000250 0.00000 0.05820 0.00010 0.12480 0.29610 0.03910 0.17460 0.14430 0.09010 0.06490 0.00790 0.00000
0.000250 0.000355 0.00000 0.00090 0.00930 0.29640 0.19970 0.28030 0.06760 0.05130 0.05580 0.03800 0.00070 0.00000
0.000355 0.000500 0.00080 0.00010 0.00350 0.40140 0.44490 0.01270 0.12510 0.00960 0.00200 0.00000 0.00000 0.00000
0.000500 0.000710 0.00000 0.00090 0.00380 0.18210 0.75740 0.02780 0.02420 0.00160 0.00160 0.00000 0.00000 0.00060
0.000710 0.001000 0.00000 0.00100 0.00430 0.44440 0.54200 0.00120 0.00130 0.00140 0.00150 0.00140 0.00150 0.00000
